Spec,Name
O3V,ckp00_45000[g45]
O4V,ckp00_43000[g45]
O5V,ckp00_41000[g45]
O5.5V,ckp00_40000[g40]
O6.5V,ckp00_38000[g40]
O7V,ckp00_37000[g40]
O7.5V,ckp00_36000[g40]
O8V,ckp00_35000[g40]
O9V,ckp00_33000[g40]
O9.5V,ckp00_32000[g40]
B0V,ckp00_30000[g40]
B1V,ckp00_25000[g40]
B3V,ckp00_19000[g40]
B5V,ckp00_15000[g40]
B8V,ckp00_12000[g40]
A0V,ckp00_9500[g40]
A1V,ckp00_9250[g40]
A5V,ckp00_8250[g40]
F0V,ckp00_7250[g40]
F2V,ckp00_7000[g40]
F5V,ckp00_6500[g40]
F8V,ckp00_6250[g45]
G0V,ckp00_6000[g45]
G5V,ckp00_5750[g45]
G8V,ckp00_5500[g45]
K0V,ckp00_5250[g45]
K2V,ckp00_4750[g45]
K4V,ckp00_4500[g45]
K5V,ckp00_4250[g45]
K7V,ckp00_4000[g45]
M0V,ckp00_3750[g45]
M2V,ckp00_3500[g45]
M5V,ckp00_3500[g50]
B0III,ckp00_29000[g35]
B5III,ckp00_15000[g35]
G0III,ckp00_5750[g30]
G5III,ckp00_5250[g25]
K0III,ckp00_4750[g20]
K5III,ckp00_4000[g15]
M0III,ckp00_3750[g15]
O5I,ckp00_40000[g45]
O6I,ckp00_39000[g40]
O8I,ckp00_34000[g40]
B0I,ckp00_26000[g30]
B5I,ckp00_14000[g25]
A0I,ckp00_9750[g20]
A5I,ckp00_8500[g20]
F0I,ckp00_7750[g20]
F5I,ckp00_7000[g15]
G0I,ckp00_5500[g15]
G5I,ckp00_4750[g10]
K0I,ckp00_4500[g10]
K5I,ckp00_3750[g05]
M0I,ckp00_3750[g00]
M2I,ckp00_3500[g00]
